City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
271,Usinsk,RU,2021-10-09 18:43:03,65.9939,57.5281,29.03,84,16,9.19
272,Stavern,NO,2021-10-09 18:43:03,59.0,10.0333,55.72,91,27,22.1
273,Altay,CN,2021-10-09 18:43:04,47.8667,88.1167,33.26,45,6,9.06
274,Clyde River,CA,2021-10-09 18:36:50,70.4692,-68.5914,35.02,76,100,11.03
275,Lagunas,PE,2021-10-09 18:43:05,-5.2269,-75.6753,99.34,32,81,2.37
276,Avanigadda,IN,2021-10-09 18:43:14,16.0215,80.9181,77.54,90,94,3.8
277,Shubarkuduk,KZ,2021-10-09 18:43:14,49.1447,56.4872,46.74,39,0,6.64
278,Maragogi,BR,2021-10-09 18:43:16,-9.0122,-35.2225,79.05,69,100,10.33
279,Talcahuano,CL,2021-10-09 18:43:16,-36.7167,-73.1167,56.88,77,75,14.97
280,Comodoro Rivadavia,AR,2021-10-09 18:43:17,-45.8667,-67.5,75.06,27,0,12.66
281,Iracoubo,GF,2021-10-09 18:43:17,5.4802,-53.2011,84.43,70,100,10.74
282,Hobyo,SO,2021-10-09 18:43:18,5.3505,48.5268,78.6,85,59,14.88
283,Mahajanga,MG,2021-10-09 18:43:18,-15.7167,46.3167,77.02,78,20,2.3
284,Ust-Tsilma,RU,2021-10-09 18:43:18,65.441,52.1498,30.02,81,90,3.49
285,Vardo,NO,2021-10-09 18:43:19,70.3705,31.1107,38.43,95,100,8.03
286,Ciudad Bolivar,VE,2021-10-09 18:43:19,8.1222,-63.5497,90.01,53,100,1.19
287,Agadez,NE,2021-10-09 18:43:20,19.75,10.25,83.01,8,0,6.93
288,Salinas,US,2021-10-09 18:43:21,36.6777,-121.6555,71.82,45,1,4.61
289,Saldanha,ZA,2021-10-09 18:43:21,-33.0117,17.9442,59.58,77,0,17.29
290,Plettenberg Bay,ZA,2021-10-09 18:43:22,-34.0527,23.3716,56.17,78,0,7.2
